Interaction_ID,Herb_Name_encoded,Compound_Name_encoded,Target_Name_encoded,Action_Type_encoded,Species_encoded,pKi,pIC50,Bioactivity_Strength,Weighted_Bioactivity,Data_Quality_Score,Confidence_Score,Is_Synthetic,Property_neuroprotective,Property_metabolism_booster,Property_nootropic,Property_antimicrobial,Property_galactagogue,Property_anti-inflammatory,Property_reproductive_health,Property_hepatoprotective,Property_energy_booster,Property_digestive,Property_adaptogenic,Property_immunomodulatory,Property_analgesic,Property_antioxidant,Property_cardioprotective,Property_hypoglycemic,Property_bioenhancer,Property_cognitive_enhancer,Property_anti-arthritic,Property_hypolipidemic,Ki_nM,IC50_nM
c6c886146d06cec6,6,40,207,1,1,8.113509274827518,5.68402231149342,8.113509274827518,7.788968903834417,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.7,2070.035
c6c886146d06cec6,6,40,207,1,1,8.236572006437063,5.68402231149342,8.236572006437063,7.907109126179581,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.8,2070.035
c6c886146d06cec6,6,40,207,1,1,8.309803919971486,5.68402231149342,8.309803919971486,7.9774117631726265,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.9,2070.035
c6c886146d06cec6,6,40,207,1,1,9.154901959985743,5.68402231149342,9.154901959985743,8.788705881586313,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,2070.035
c6c886146d06cec6,6,40,207,1,1,6.795880017344075,5.68402231149342,6.795880017344075,6.524044816650312,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,160.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.552841968657781,5.68402231149342,6.552841968657781,6.290728289911469,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,280.0,2070.035
c6c886146d06cec6,6,40,207,1,1,5.795880017344075,5.68402231149342,5.795880017344075,5.564044816650312,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1600.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.958607314841775,5.68402231149342,6.958607314841775,6.680263022248103,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,110.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.251811972993799,5.68402231149342,6.251811972993799,6.001739494074047,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,560.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.769551078621726,5.68402231149342,6.769551078621726,6.498769035476856,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,170.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.455931955649724,5.68402231149342,6.455931955649724,6.197694677423735,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,350.0,2070.035
c6c886146d06cec6,6,40,207,1,1,7.0655015487564325,5.68402231149342,7.0655015487564325,6.782881486806175,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,86.0,2070.035
c6c886146d06cec6,6,40,207,1,1,6.769551078621726,5.68402231149342,6.769551078621726,6.498769035476856,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,170.0,2070.035
c6c886146d06cec6,6,40,207,1,1,7.552841968657781,5.68402231149342,7.552841968657781,7.250728289911469,0.96,0.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.0,2070.035
